median_income,median_rent,total_pop,male_white_20_24,male_white_25_29,male_white_30_34,female_white_20_24,female_white_25_29,female_white_30_34,year,prop_white_20_34,TRACT,FIPS,YEAR,25% Quartile of Appraised Value,75% Quartile of Appraised Value,Count of Appraisals,Mean Appraised Value,Median Appraised Value,zhvi
86182,1023,1904,15,101,35,23,49,44,2013,0.1402310924369748,22071009000,22071,2013,525000.0,1375000.0,29.0,929000.0,725000.0,140626.58780309712
51477,971,1675,32,98,12,127,47,80,2013,0.2364179104477612,22071009600,22071,2013,340000.0,450000.0,46.0,403500.0,395500.0,140626.58780309712
65236,1271,2120,45,144,95,63,176,53,2013,0.27169811320754716,22071010100,22071,2013,357000.0,680000.0,26.0,535700.0,487500.0,140626.58780309712
46875,1011,1232,14,34,62,3,64,57,2013,0.18993506493506493,22071010600,22071,2013,283000.0,530000.0,31.0,396400.0,350000.0,140626.58780309712
81406,1433,1315,48,33,85,49,91,38,2013,0.26159695817490497,22071011500,22071,2013,575000.0,890000.0,36.0,777700.0,690000.0,140626.58780309712
60667,1397,4087,568,55,0,580,39,0,2013,0.30389038414484953,22071012102,22071,2013,402000.0,793000.0,18.0,638800.0,601000.0,140626.58780309712
40139,951,1539,46,116,52,45,112,7,2013,0.24561403508771928,22071012500,22071,2013,304000.0,610000.0,32.0,482400.0,370500.0,140626.58780309712
42344,1021,2238,163,82,46,53,96,118,2013,0.24932975871313673,22071012700,22071,2013,300000.0,480000.0,37.0,416700.0,384000.0,140626.58780309712
39464,906,1361,52,6,32,62,82,55,2013,0.21234386480529022,22071012900,22071,2013,205000.0,349000.0,26.0,290700.0,257500.0,140626.58780309712
43438,1044,1564,0,144,21,29,142,120,2013,0.2915601023017903,22071014200,22071,2013,245000.0,380000.0,53.0,318700.0,315000.0,140626.58780309712
45444,869,2077,25,44,64,17,23,75,2013,0.11940298507462686,22071014400,22071,2013,325000.0,443000.0,30.0,411100.0,410000.0,140626.58780309712
58846,1024,4207,16,32,89,8,17,30,2013,0.045638222010934155,22071000606,22071,2013,147000.0,182000.0,59.0,166500.0,160000.0,140626.58780309712
26240,1025,1644,2,13,0,0,17,0,2013,0.019464720194647202,22071000702,22071,2013,120000.0,175000.0,14.0,155600.0,148500.0,140626.58780309712
18629,920,1654,9,38,14,2,47,23,2013,0.0804111245465538,22071001301,22071,2013,130000.0,355000.0,23.0,242300.0,230000.0,140626.58780309712
27045,885,1673,4,0,2,0,50,27,2013,0.049611476389719064,22071011100,22071,2013,240000.0,420000.0,17.0,329700.0,340000.0,140626.58780309712
93333,1378,1485,20,34,71,83,37,90,2013,0.2255892255892256,22071012000,22071,2013,460000.0,920000.0,31.0,810900.0,650000.0,140626.58780309712
